time_step,new_patients,source,notes
0,2,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
1,4,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
2,12,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
3,20,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
4,50,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
5,16,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
6,40,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
7,27,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
8,8,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
9,4,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
10,3,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
11,2,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
12,1,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
13,1,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
14,1,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
15,0,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
16,0,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
17,0,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
18,0,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
19,0,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
20,0,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
21,0,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
22,0,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
23,0,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
24,0,Fujie and Odagaki Fig. 15 digitised,6-day binned SARS Singapore epidemic curve used by the paper comparison.
