secondary_cases,index_patients,source,notes
0,162,CDC MMWR 52(18),CDC reports 162 probable SARS cases had no evidence of transmission to others.
1,22,Fujie and Odagaki Fig. 14 digitised,Intermediate bins are digitised approximations from the published chart.
2,8,Fujie and Odagaki Fig. 14 digitised,Intermediate bins are digitised approximations from the published chart.
3,4,Fujie and Odagaki Fig. 14 digitised,Intermediate bins are digitised approximations from the published chart.
4,2,Fujie and Odagaki Fig. 14 digitised,Intermediate bins are digitised approximations from the published chart.
5,1,Fujie and Odagaki Fig. 14 digitised,Intermediate bins are digitised approximations from the published chart.
7,1,Fujie and Odagaki Fig. 14 digitised,Intermediate bins are digitised approximations from the published chart.
12,1,CDC MMWR 52(18),CDC Case 5 had 12 probable directly linked SARS infections.
21,1,CDC MMWR 52(18),CDC Case 1 had 21 probable directly linked SARS infections.
23,1,CDC MMWR 52(18) / Fujie and Odagaki Fig. 14,CDC reports two 23-probable-infection super-spreader descriptions; this row preserves the paper-figure digitisation used by the comparison.
40,1,CDC MMWR 52(18),CDC Case 4 had 40 probable directly linked SARS infections.
