model,lambda,alpha,gamma,rho_pi_r0sq,peak_time_mean,peak_time_std,peak_magnitude_mean,peak_magnitude_std,percolation_prob,mse_vs_sars
strong,0.2,1,1.0,15.0,7.244,1.1749314873642633,80.754,10.240189646681355,0.997,21.28799506623571
strong,0.2,2,1.0,15.0,8.663,4.241866452400405,51.882,21.93531572601589,0.87,59.37593031044411
strong,0.2,3,1.0,15.0,6.247,6.48413378948954,24.751,21.377534914016632,0.496,92.22772416998959
strong,0.4,1,1.0,15.0,6.247,0.7873950723747261,91.884,9.710434799739916,0.999,10.338273426722333
strong,0.4,2,1.0,15.0,6.539,2.0905690612845107,78.596,22.97626566698775,0.933,18.124810611389297
strong,0.4,3,1.0,15.0,5.922,3.238813980456426,63.509,32.7220097029507,0.805,23.172759136951036
hub,0.2,1,1.0,15.0,5.202,0.9556128923366406,112.758,14.554842355724778,0.996,7.413257727357864
hub,0.2,2,1.0,15.0,5.524,2.476171238020505,87.612,34.46266756941488,0.881,11.880644392207559
hub,0.2,3,1.0,15.0,4.113,3.5679449267050067,53.7,43.73314532479913,0.609,16.95931703943309
hub,0.4,1,1.0,15.0,4.052,0.7009251029888999,138.587,13.665885664676109,0.998,13.277674557962678
hub,0.4,2,1.0,15.0,4.161,1.4018127549712194,126.63,34.50833377606053,0.939,10.506454108404023
hub,0.4,3,1.0,15.0,3.571,2.0549839415430964,105.109,54.39743669512379,0.795,10.001703651613841
