model,lambda,rho_pi_r0sq,output_metric,baseline_gamma,baseline_value,perturbed_gamma,perturbed_value,S_hat
strong,0.0,10,peak_time_mean,1.0,1.003,0.7,2.085,-3.595879029577933
strong,0.0,10,peak_magnitude_mean,1.0,2.728,0.7,3.41,-0.8333333333333331
strong,0.0,10,extinction_time_mean,1.0,4.678,0.7,7.902,-2.297278039048026
strong,0.0,10,percolation_prob,1.0,0.0,0.7,0.001,nan
strong,0.0,15,peak_time_mean,1.0,6.442,0.7,13.293,-3.5449653316775316
strong,0.0,15,peak_magnitude_mean,1.0,9.429,0.7,15.899,-2.2872697705659837
strong,0.0,15,extinction_time_mean,1.0,17.271,0.7,31.739,-2.792349410379634
strong,0.0,15,percolation_prob,1.0,0.112,0.7,0.538,-12.678571428571427
strong,0.0,20,peak_time_mean,1.0,14.715,0.7,14.375,0.0770189149394042
strong,0.0,20,peak_magnitude_mean,1.0,41.233,0.7,51.831,-0.8567571281902041
strong,0.0,20,extinction_time_mean,1.0,29.734,0.7,28.665,0.11984036232371499
strong,0.0,20,percolation_prob,1.0,0.908,0.7,0.955,-0.17254038179148284
strong,0.2,10,peak_time_mean,1.0,4.526,0.7,6.762,-1.646781558403299
strong,0.2,10,peak_magnitude_mean,1.0,11.998,0.7,15.104,-0.8629215980441184
strong,0.2,10,extinction_time_mean,1.0,12.483,0.7,18.391,-1.5776122192848931
strong,0.2,10,percolation_prob,1.0,0.209,0.7,0.408,-3.1738437001594892
strong,0.2,15,peak_time_mean,1.0,8.663,0.7,8.969,-0.11774212166685871
strong,0.2,15,peak_magnitude_mean,1.0,51.882,0.7,56.897,-0.32220551764902405
strong,0.2,15,extinction_time_mean,1.0,17.768,0.7,19.403,-0.3067312021611882
strong,0.2,15,percolation_prob,1.0,0.87,0.7,0.918,-0.18390804597701163
strong,0.2,20,peak_time_mean,1.0,7.711,0.7,7.815,-0.04495742013573686
strong,0.2,20,peak_magnitude_mean,1.0,97.372,0.7,100.752,-0.11570745868079788
strong,0.2,20,extinction_time_mean,1.0,14.399,0.7,16.705,-0.5338333680579668
strong,0.2,20,percolation_prob,1.0,0.952,0.7,0.973,-0.07352941176470594
strong,0.4,10,peak_time_mean,1.0,7.047,0.7,7.57,-0.24738659476845962
strong,0.4,10,peak_magnitude_mean,1.0,30.676,0.7,33.665,-0.32479245447037863
strong,0.4,10,extinction_time_mean,1.0,15.353,0.7,17.533,-0.47330597711630756
strong,0.4,10,percolation_prob,1.0,0.774,0.7,0.834,-0.25839793281653717
strong,0.4,15,peak_time_mean,1.0,6.539,0.7,6.652,-0.057603099352602556
strong,0.4,15,peak_magnitude_mean,1.0,78.596,0.7,80.922,-0.0986479379781835
strong,0.4,15,extinction_time_mean,1.0,12.47,0.7,14.867,-0.640737770649559
strong,0.4,15,percolation_prob,1.0,0.933,0.7,0.952,-0.06788138620936014
strong,0.4,20,peak_time_mean,1.0,6.149,0.7,6.236,-0.04716214018539585
strong,0.4,20,peak_magnitude_mean,1.0,122.233,0.7,124.35,-0.05773127278776298
strong,0.4,20,extinction_time_mean,1.0,11.435,0.7,14.345,-0.8482728465238303
strong,0.4,20,percolation_prob,1.0,0.972,0.7,0.985,-0.04458161865569276
hub,0.0,10,peak_time_mean,1.0,1.038,0.7,2.089,-3.375080282594733
hub,0.0,10,peak_magnitude_mean,1.0,2.743,0.7,3.414,-0.8154089196743227
hub,0.0,10,extinction_time_mean,1.0,4.924,0.7,7.894,-2.0105605199025174
hub,0.0,10,percolation_prob,1.0,0.0,0.7,0.001,nan
hub,0.0,15,peak_time_mean,1.0,6.618,0.7,13.565,-3.4990430140022153
hub,0.0,15,peak_magnitude_mean,1.0,9.714,0.7,15.676,-2.0458444856221254
hub,0.0,15,extinction_time_mean,1.0,17.765,0.7,31.78,-2.629702598742846
hub,0.0,15,percolation_prob,1.0,0.133,0.7,0.535,-10.07518796992481
hub,0.0,20,peak_time_mean,1.0,14.856,0.7,14.202,0.1467420570813139
hub,0.0,20,peak_magnitude_mean,1.0,41.037,0.7,51.77,-0.8718148662589049
hub,0.0,20,extinction_time_mean,1.0,29.896,0.7,28.705,0.13279368477388304
hub,0.0,20,percolation_prob,1.0,0.904,0.7,0.957,-0.19542772861356905
hub,0.2,10,peak_time_mean,1.0,5.197,0.7,5.784,-0.3764992623949712
hub,0.2,10,peak_magnitude_mean,1.0,28.588,0.7,35.57,-0.8140944918613868
hub,0.2,10,extinction_time_mean,1.0,12.603,0.7,14.396,-0.47422571345446873
hub,0.2,10,percolation_prob,1.0,0.655,0.7,0.736,-0.412213740458015
hub,0.2,15,peak_time_mean,1.0,5.524,0.7,5.7,-0.10620323437122865
hub,0.2,15,peak_magnitude_mean,1.0,87.612,0.7,93.584,-0.22721392807682386
hub,0.2,15,extinction_time_mean,1.0,11.152,0.7,13.482,-0.6964371114299378
hub,0.2,15,percolation_prob,1.0,0.881,0.7,0.916,-0.13242527430949688
hub,0.2,20,peak_time_mean,1.0,5.175,0.7,5.218,-0.02769726247987127
hub,0.2,20,peak_magnitude_mean,1.0,151.759,0.7,155.865,-0.09018685327833435
hub,0.2,20,extinction_time_mean,1.0,10.093,0.7,13.027,-0.9689884078073909
hub,0.2,20,percolation_prob,1.0,0.958,0.7,0.975,-0.059151009046624965
hub,0.4,10,peak_time_mean,1.0,4.24,0.7,4.452,-0.16666666666666644
hub,0.4,10,peak_magnitude_mean,1.0,58.45,0.7,62.921,-0.2549757627601936
hub,0.4,10,extinction_time_mean,1.0,9.139,0.7,11.251,-0.7703249808512966
hub,0.4,10,percolation_prob,1.0,0.813,0.7,0.855,-0.1722017220172203
hub,0.4,15,peak_time_mean,1.0,4.161,0.7,4.211,-0.040054474084755834
hub,0.4,15,peak_magnitude_mean,1.0,126.63,0.7,128.777,-0.05651635999894683
hub,0.4,15,extinction_time_mean,1.0,8.479,0.7,11.468,-1.1750599520383695
hub,0.4,15,percolation_prob,1.0,0.939,0.7,0.953,-0.04969826056088041
hub,0.4,20,peak_time_mean,1.0,3.865,0.7,3.932,-0.057783527382492206
hub,0.4,20,peak_magnitude_mean,1.0,193.431,0.7,196.879,-0.05941825939654586
hub,0.4,20,extinction_time_mean,1.0,8.007,0.7,11.527,-1.4653844552683064
hub,0.4,20,percolation_prob,1.0,0.975,0.7,0.987,-0.04102564102564105
