model,lambda,gamma,rho_pi_r0sq,N,peak_time_mean,peak_time_std,peak_magnitude_mean,peak_magnitude_std,extinction_time_mean,extinction_time_std,percolation_prob,percolation_stderr,mse_vs_sars
strong,0.0,0.3,10,318,11.025,12.690326039940818,6.765,4.410416646984727,32.829,23.21330995355897,0.17,0.011878552100319299,nan
strong,0.0,0.3,15,477,17.689,6.452772969816929,32.409,8.970603045503685,43.334,10.85036607677363,0.954,0.006624499981130654,nan
strong,0.0,0.3,20,637,13.492,2.601141287973416,62.878,10.38244267983214,36.022,5.435578718039138,0.988,0.003443254274665176,nan
strong,0.0,0.5,10,318,3.96,5.539711183807329,4.36,3.1209613903411237,13.669,11.076616766865232,0.01,0.003146426544510455,nan
strong,0.0,0.5,15,477,17.675,10.128147658876227,23.65,9.928217362648745,40.029,16.32771138279949,0.841,0.011563693181678596,nan
strong,0.0,0.5,20,637,13.839,3.6319525051960686,57.312,12.655064440768369,29.455,5.906435050011132,0.97,0.0053944415837044735,nan
strong,0.0,0.7,10,318,2.085,3.3340328432695436,3.41,2.6769198717929528,7.902,6.729516773142036,0.001,0.0009994998749374609,nan
strong,0.0,0.7,15,477,13.293,11.492569381996352,15.899,9.244284666754913,31.739,18.65424560254314,0.538,0.015765658882520576,nan
strong,0.0,0.7,20,637,14.375,4.757769960811473,51.831,13.708261705993216,28.665,7.212542894153213,0.955,0.00655553201502365,nan
strong,0.0,1.0,10,318,1.003,1.8278377936786403,2.728,2.354148678397352,4.678,3.5950404726511773,0.0,0.0,nan
strong,0.0,1.0,15,477,6.442,7.503108422513965,9.429,6.557816633606035,17.271,13.61828032462249,0.112,0.00997276290703835,nan
strong,0.0,1.0,20,637,14.715,6.7406064267245265,41.233,14.942045074219259,29.734,10.184559096985986,0.908,0.009139803061335619,nan
strong,0.2,0.3,10,318,12.371,8.050426013572201,23.51,10.851631213785327,35.266,14.880969188866699,0.821,0.012122664723566351,nan
strong,0.2,0.3,15,477,9.308,2.6086655592467194,64.098,14.152257629085192,29.885,5.996980490213387,0.974,0.005032295698784007,nan
strong,0.2,0.3,20,637,7.864,1.5759137032210868,103.824,16.097236533020194,29.013,4.702215541635666,0.99,0.003146426544510456,nan
strong,0.2,0.5,10,318,9.815,8.16117485414937,18.395,11.019027860932198,25.538,14.262347492611445,0.604,0.01546557467409472,nan
strong,0.2,0.5,15,477,9.172,3.2364202446530337,60.107,17.449457040263457,22.16,5.779826987029976,0.94,0.007509993342207438,nan
strong,0.2,0.5,20,637,7.751,1.73867737087707,102.394,19.002967241986184,20.123,3.3394417198088666,0.98,0.0044271887242357325,nan
strong,0.2,0.7,10,318,6.762,6.886607002000332,15.104,10.833059770904987,18.391,12.820847046899827,0.408,0.015541428505771277,nan
strong,0.2,0.7,15,477,8.969,3.5749180410185626,56.897,19.256022200859658,19.403,5.870314386810983,0.918,0.008676174272108645,nan
strong,0.2,0.7,20,637,7.815,1.9190557573973717,100.752,20.539096766898002,16.705,2.9923193345630743,0.973,0.005125524363418832,nan
strong,0.2,1.0,10,318,4.526,5.599225303557627,11.998,9.729028522930747,12.483,10.368013840654342,0.209,0.012857643641040918,nan
strong,0.2,1.0,15,477,8.663,4.241866452400405,51.882,21.93531572601589,17.768,6.843549955980449,0.87,0.010634848376916336,nan
strong,0.2,1.0,20,637,7.711,2.272328981463732,97.372,25.175734666539523,14.399,3.2701374588845646,0.952,0.006759881655768837,nan
strong,0.4,0.3,10,318,8.49,3.536368193500219,39.273,12.930138088976468,27.864,8.275234377345454,0.928,0.00817410545564467,nan
strong,0.4,0.3,15,477,6.874,1.574205831522676,83.722,15.817418120540406,26.793,5.288492318232106,0.979,0.00453420334788814,18.119960411641664
strong,0.4,0.3,20,637,6.293,1.061673678679094,125.677,15.174210720824988,27.305,4.068657641040838,0.994,0.002442130217658347,nan
strong,0.4,0.5,10,318,8.041,3.984886322092514,36.239,15.026572430198446,20.481,7.533633850938071,0.876,0.010422283818818216,nan
strong,0.4,0.5,15,477,6.774,1.7711363583868973,81.989,18.330872292392417,18.265,3.727569583522218,0.965,0.005811626278418119,18.19885626560144
