model,lambda,MSE,MSE_stderr,rank
strong,0.01,147.44667889873736,16.147987213402022,2
hub,0.01,140.6319407470186,12.515294797717171,1
strong,0.02,146.41909239289026,13.939156533498853,2
hub,0.02,125.63255440103245,11.323767001646258,1
strong,0.025,150.06841625813914,11.841761241129625,2
hub,0.025,130.5766430414145,10.57011513852302,1
strong,0.05,143.1161344336724,11.076539633682481,2
hub,0.05,93.99731011992782,5.7157551016610055,1
strong,0.08,139.93162805620383,7.953457880922555,2
hub,0.08,61.402929366843985,3.9043100718213566,1
strong,0.1,113.86592097056156,6.6485631512476635,2
hub,0.1,50.34396551185299,3.32246687414853,1
strong,0.15,79.275504594299,4.041971882032527,2
hub,0.15,24.284823143958292,1.986841946606035,1
strong,0.2,58.372513809068444,2.645923795405039,2
hub,0.2,11.856388387426284,0.7213616096538877,1
