model,lambda,gamma,rho_pi_r0sq,N,peak_time_mean,peak_time_std,peak_magnitude_mean,peak_magnitude_std,percolation_prob,mse_vs_sars
strong,0.01,1.0,15.0,477,8.35,9.63314590359764,11.87,8.060589308481111,0.23,147.44667889873736
strong,0.02,1.0,15.0,477,7.93,8.725542963048202,13.55,9.142073069058243,0.21,146.41909239289026
strong,0.025,1.0,15.0,477,7.875,8.404128449756108,14.73,10.412353240262261,0.295,150.06841625813914
strong,0.05,1.0,15.0,477,9.25,8.089962917096717,20.42,13.422875995851262,0.49,143.1161344336724
strong,0.08,1.0,15.0,477,10.255,7.710380989289699,26.54,15.924145188988952,0.625,139.93162805620383
strong,0.1,1.0,15.0,477,10.11,7.453717193454551,30.29,17.45611354225218,0.71,113.86592097056156
strong,0.15,1.0,15.0,477,9.945,5.609988859168974,42.45,20.563742363684682,0.835,79.275504594299
strong,0.2,1.0,15.0,477,8.675,4.244923438649984,52.375,22.19559359422496,0.87,58.372513809068444
hub,0.01,1.0,15.0,477,7.435,7.78561333486322,12.805,9.181338410057654,0.24,140.6319407470186
hub,0.02,1.0,15.0,477,8.19,8.416287780250864,17.115,12.604038043420847,0.39,125.63255440103245
hub,0.025,1.0,15.0,477,9.385,8.852501059022812,19.215,13.557240685331216,0.46,130.5766430414145
hub,0.05,1.0,15.0,477,8.93,6.86112964459935,32.42,19.772546624044157,0.68,93.99731011992782
hub,0.08,1.0,15.0,477,8.11,5.181495922993667,46.815,25.39253384363207,0.795,61.402929366843985
hub,0.1,1.0,15.0,477,7.44,4.489587954367305,54.12,27.349873857113124,0.815,50.34396551185299
hub,0.15,1.0,15.0,477,6.455,3.3627332632844964,71.855,31.28472430755943,0.86,24.284823143958292
hub,0.2,1.0,15.0,477,5.445,2.4813252507480756,88.5,34.67059272640143,0.88,11.856388387426284
