model,lambda,rn_r0_ratio,normalized,gamma,rho_pi_r0sq,peak_time_mean,peak_time_std,peak_magnitude_mean,peak_magnitude_std,extinction_time_mean,extinction_time_std,percolation_prob,mse_vs_sars
strong,0.2,nan,,1.0,15.0,8.663,4.241866452400405,51.882,21.93531572601589,17.768,6.843549955980449,0.87,59.37593031044411
strong,0.4,nan,,1.0,15.0,6.539,2.0905690612845107,78.596,22.97626566698775,12.47,3.197671027482346,0.933,18.124810611389297
hub,0.2,1.1,True,1.0,15.0,11.736,7.301527511418415,30.957,15.501391905245155,25.149,11.893981629378784,0.802,132.42234074763863
hub,0.2,1.1,False,1.0,15.0,7.879,8.371520710121908,11.484,7.9705548113039155,19.988,14.881460143413346,0.224,156.2881549348952
hub,0.2,1.5,True,1.0,15.0,8.851,4.170467479791684,50.697,20.694859047599238,18.189,6.867407007015093,0.878,63.73898969523661
hub,0.2,1.5,False,1.0,15.0,11.902,7.509487066371444,28.494,14.04976740020987,25.774,12.015861350731374,0.801,135.86619205310717
hub,0.2,2.0,True,1.0,15.0,6.61,3.083488284394802,71.025,28.788580635383884,13.3,4.809573785690371,0.878,26.07680906502791
hub,0.2,2.0,False,1.0,15.0,7.752,3.62553389171857,58.771,24.041392617733273,15.804,5.880440799804043,0.877,44.073667618018426
hub,0.2,2.449489742783178,True,1.0,15.0,5.524,2.476171238020505,87.612,34.46266756941488,11.152,3.7537842239532093,0.881,11.880644392207559
hub,0.2,2.449489742783178,False,1.0,15.0,5.524,2.476171238020505,87.612,34.46266756941488,11.152,3.7537842239532093,0.881,11.880644392207559
hub,0.2,3.0,True,1.0,15.0,4.671,2.3174898058028215,104.093,42.86969035344202,9.695,3.4281153714541173,0.867,7.506609997369561
hub,0.2,3.0,False,1.0,15.0,4.095,2.112812107121691,121.151,49.556111621070514,8.438,2.961444917603567,0.867,8.887221630558287
hub,0.2,4.0,True,1.0,15.0,3.974,2.080222103526448,132.008,53.86479310273084,8.468,2.974722844232719,0.867,8.706218353998601
hub,0.2,4.0,False,1.0,15.0,3.011,1.7575206968909356,183.234,73.77377070477013,6.282,2.2213680469476462,0.867,20.06667811037448
hub,0.2,5.0,True,1.0,15.0,3.641,1.9550240407729007,153.318,61.93372971168457,7.846,2.7196110015956325,0.867,11.323714289794015
hub,0.2,5.0,False,1.0,15.0,2.274,1.5757296722471148,233.741,95.63024583781012,5.342,1.9526996696880963,0.867,27.595499979904307
hub,0.4,1.1,True,1.0,15.0,9.436,3.687804767066717,52.042,17.77161320758473,18.494,5.856958596404794,0.916,62.40816586227411
hub,0.4,1.1,False,1.0,15.0,9.564,8.81759060061194,14.249,9.304783662181514,23.239,15.618062587914034,0.352,193.84527078045343
hub,0.4,1.5,True,1.0,15.0,6.59,2.0851618642206176,79.191,22.427673062535934,12.638,3.1421260318453172,0.94,18.759171454537153
hub,0.4,1.5,False,1.0,15.0,9.803,4.015493867508702,49.011,16.279093310132478,20.006,6.204028046358269,0.925,69.0068706810406
hub,0.4,2.0,True,1.0,15.0,4.865,1.6403581925908743,104.46,30.443265265079567,9.622,2.439900817656324,0.931,7.527000479684306
hub,0.4,2.0,False,1.0,15.0,5.688,1.919024752315613,90.51,26.97735902567188,11.244,2.9289015005629673,0.931,10.042298135167984
hub,0.4,2.449489742783178,True,1.0,15.0,4.161,1.4018127549712194,126.63,34.50833377606053,8.479,2.0063795752548916,0.939,10.506454108404023
hub,0.4,2.449489742783178,False,1.0,15.0,4.161,1.4018127549712194,126.63,34.50833377606053,8.479,2.0063795752548916,0.939,10.506454108404023
hub,0.4,3.0,True,1.0,15.0,3.504,1.2945980071049081,149.745,43.28697234734719,7.474,1.894551134174003,0.93,16.02995648621314
hub,0.4,3.0,False,1.0,15.0,3.031,1.203344921458515,164.221,46.981040420578175,6.647,1.6894943030386342,0.93,20.44334746472704
hub,0.4,4.0,True,1.0,15.0,2.861,1.1898230960945413,186.08,53.674254536043634,6.598,1.674633094143311,0.93,21.338070055757033
hub,0.4,4.0,False,1.0,15.0,2.123,1.0449263131915092,217.909,61.86674970450605,5.361,1.3581896038477101,0.93,32.59173871861805
hub,0.4,5.0,True,1.0,15.0,2.632,1.094794957971583,217.858,63.04138193282251,6.231,1.5708720508049026,0.93,26.036959864515655
hub,0.4,5.0,False,1.0,15.0,1.631,0.925655983613783,308.775,86.88393623104331,4.522,1.186387794947335,0.93,41.59311730891457
